Dataset,Availability,License,Ethics/Consent,Anonymization,Usage restriction,Maintenance,Availability checked,Evidence source,Official URL or archived URL,Source version/date
WHU-MARS [10],Available upon request; signed agreement required,WHU-MARS Dataset Agreement,Institutional authorization reported; on-site notices posted,Automatic face mosaicking; personally identifiable metadata removed,Non-commercial academic research only; redistribution prohibited,Official repository available; current 2026 release,2026-09-04,Original paper [10]; official WHU-MARS repository and Dataset Agreement,https://github.com/msm8976/WHU-MARS,Release: 2026; repository/agreement state checked 2026-09-04
CUHK01 [52],Legacy official download page indexed; direct legacy page currently inaccessible at last check,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Current CUHK dataset index available; legacy detail page unstable,2026-09-04,Original paper [52]; CUHK person-identification data index,https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Paper: 2012; page checked 2026-09-04
CUHK02 [53],Legacy official download page indexed; direct legacy page currently inaccessible at last check,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Current CUHK dataset index available; legacy detail page unstable,2026-09-04,Original paper [53]; CUHK person-identification data index,https://www.ee.cuhk.edu.hk/~xgwang/CUHK_identification.html,Paper: 2013; page checked 2026-09-04
GRID [54],Publicly downloadable,Research-use terms; no standardised open license identified,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Research purposes only; no commercial use,Official legacy dataset page available; no explicit maintenance plan,2026-09-04,Original paper [54]; legacy official GRID page,No durable official or archived URL retained in the current evidence package; see [54].,Original release; legacy-page status checked 2026-09-04
"DukeMTMC-reID [62, 103]",Withdrawn by creators; official distribution unavailable,Legacy CC BY-NC-SA 4.0 license,Withdrawn following privacy concerns,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Dataset withdrawn; current CVF ethics guidance treats it as unsuitable for submissions,Withdrawn; no active official distribution,2026-09-04,Original paper [103]; creators' withdrawal notice; CVF ethics guidance,https://www.cv-foundation.org/ethics,Original release: 2016; withdrawal guidance checked 2026-09-04
MARS [42],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official legacy project/download page available; no explicit maintenance plan,2026-09-04,Original paper [42]; official MARS project/download page,https://zheng-lab-anu.github.io/Project/project_mars.html,Paper: 2016; page checked 2026-09-04
iLIDS-VID [43],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official legacy dataset page available; no explicit maintenance plan,2026-09-04,Original paper [43]; legacy iLIDS-VID dataset page,No durable official or archived URL retained in the current evidence package; see [43].,Paper: 2016; legacy-page status checked 2026-09-04
LLCM [67],Available upon request; signed release agreement required,LLCM Dataset Release Agreement,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Subject to dataset release agreement,Official repository and release agreement available,2026-09-04,Original paper [67]; official LLCM repository and Dataset Release Agreement,https://github.com/ZYK100/LLCM,Paper: 2023; repository/agreement state checked 2026-09-04
HITSZ-VCM [44],Publicly downloadable,Dataset-specific academic-use license,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Academic use only; no redistribution; no commercial model use; trained models may only be distributed for non-commercial use,Official repository and download links available; no explicit maintenance plan,2026-09-04,Original paper [44]; official repository and dataset-specific license,No durable official or archived URL retained in the current evidence package; see [44].,Paper: 2022; repository/license state checked 2026-09-04
PRCC [100],Publicly downloadable,Academic-use dataset terms; copyright retained by iSEE/SYSU,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Academic purposes only; no commercial use,Official project page and download links available; no explicit maintenance plan,2026-09-04,Original paper [100]; official project/download page,No durable official or archived URL retained in the current evidence package; see [100].,Paper: 2021; project-page state checked 2026-09-04
LTCC [98],Available upon request; signed Database Release Agreement required,LTCC Database Release Agreement; Fudan University copyright,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,"Research only; no commercial use; no redistribution, modification, publication, copying or dissemination of dataset records",Official project page and release protocol available; no explicit maintenance plan,2026-09-04,Original paper [98]; official project page and LTCC Database Release Agreement,No durable official or archived URL retained in the current evidence package; see [98].,Paper: 2020; project/agreement state checked 2026-09-04
VC-Clothes [101],Publicly downloadable,Apache License 2.0,N/A (synthetic),N/A (synthetic),Use permitted under Apache License 2.0 terms,Official legacy project page and download links available; no explicit maintenance plan,2026-09-04,Original paper [101]; official legacy project/download page,No durable official or archived URL retained in the current evidence package; see [101].,Paper: 2020; project-page state checked 2026-09-04
DeepChange [99],Available upon request; signed Dataset Access Agreement and institutional email required,DeepChange Dataset Access Agreement,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Face blocking required for dissemination; release-wide anonymization not stated,Non-commercial research only; no redistribution; no commercial exploitation; faces must be blocked in disseminated images,Official project repository and access agreement available; no explicit maintenance plan,2026-09-04,Original paper [99]; official project repository and Dataset Access Agreement,No durable official or archived URL retained in the current evidence package; see [99].,Paper: 2023; repository/agreement state checked 2026-09-04
AG-ReID.v1 [80],Publicly downloadable,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official repository and download link available; superseded by v2 but retained,2026-09-04,Original paper [80]; official repository and download link,No durable official or archived URL retained in the current evidence package; see [80].,Original release; repository state checked 2026-09-04
AG-VPReID [45],Publicly downloadable through official Kaggle/Google Drive links,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Official repository and competition materials available; FAQ intended for continued updates,2026-09-04,Original paper [45]; official repository and competition materials,No durable official or archived URL retained in the current evidence package; see [45].,Original release; repository/FAQ state checked 2026-09-04
CUHK-PEDES [47],Available upon request; university email required,No public open license; access restricted due to licensing issues,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Academic use only,Official project repository available; legacy project,2026-09-04,Original paper [47]; official project repository and access instructions,No durable official or archived URL retained in the current evidence package; see [47].,Original release; repository/access state checked 2026-09-04
RSTPReid [48],Publicly downloadable,Repository is MIT-licensed; no separate dataset-specific license statement identified,Not explicitly reported in the listed evidence sources (checked 2026-09-04); images are derived from MSMT17.,Not explicitly reported in the listed evidence sources (checked 2026-09-04).,Underlying MSMT17 source-data restrictions require clarification,Official dataset repository and download links available; no explicit maintenance plan,2026-09-04,Original paper [48]; official dataset repository; MSMT17 source-data terms,No durable official or archived URL retained in the current evidence package; see [48] and [7].,Original release; repository/source-data terms checked 2026-09-04
